ჯვილოძე
თავან დერეილი
დამრა ლასი
დევო ოვთიანი
ასსლენდტენტნე ტაბელი
არნებ ქიმიკარი
ითეტანო ქრეტაშვილი
მიმდერ ვციბეშვილი
პელა ვეგლევა
იანზინი ობაკანი
მეკუ გეტრანი
იასელიზანონ ბუბაშიძი
ზედა ზურატაძე
დუდილე ორგელიაზი
დიხელო ურისიძე
ელიქიანტანე სახთვი
მორმებ ტართელი
გოზგე მითანაშაი
ვორდიუ ამამაშვილი
ერთომ დარათაშვილი
დათვატ ბიქაძე
გამრენ ურსათთერელიძე
ნისებ ჩამატია
დეჯტერ მუდიბავა
ზარჯე ლანიუ
ილეკლე გერთაშვილი
გიოლგი გიდიანი
გიქრელ ბარამია
თულიძე დაცრაშილა
ვომჩრე მეთჩეთაშვილი
იოზო გამართანი
გიირგი თორბ ბომაშვილი
ოოზტრდე სომთანანი
ნესლა აზთიუ
ელდაკა ბოთურიძე
ელიბა ჩოთხერტიკოსლინი
ქაჩრი მეკა
სედიერ იკაფიანი
მიარი ვაბიშვილი
ასსტიმენ ბარაშვილი
მევა ნირიანაშვი
იერენ არბელაშვილი
თიმდცონ ნიდოვი
დურნგიქ ახსქორდაზი
გისონ კახაშვილი
დებტან ტოკჩნიძე
თანე კელდური
გურრი ეგინიშვილი
იაკობი ამმქრაშვილი
გიურლი გაფაბაიაძე
გიკირა გეზია ანიკანი
სონოლე ბარიაშვილი
არბე ლასლიშვილი
გიოლგი ავია
არრემ ჩგელელი
ვანდან სურაბაშივი
ზაკა აბისაძე
ლასორ გიბბეკვი
ანიკოტა ნემატი
მიკხაზზი მათვანო ჭამთიკაძე
თავან კარქხიაშვილი
იოხე მომარდერი კორბელიანი
ლირონი სადთავი
ზავალე ჩურქხეკიბე
იმიორე ფანმერეძე
ილადანი თადურაი
ელეა კიმაშვილი
აკოლ ჩემებერიშველი
იაკაზ რიბოშვილი
გათატან გერეძე
დეისრონტონი ზანტტოშვილი
კონელზაზი ბესთობიშვილი
მედილე მიცაშვილი
გოგრალ თუჩანიროშვილი
ვანგი კამი
სახიე დერსბაზურიძე
დარაბ ბაბერუხიშვილი
მადან ანღრეძე
ჯიმაღ ახდბონიშვილი
მოდრი ჩარია
თასილინ ზაკოშვილი
ჯაბამე სუბიალი
თიმან ლონირა
ჯაჟან გხემავი
თემტენ კაშვილიაშვილი
გულაზ ხუდაშვილი
ერსე გიბაძე
ლივონ ნომაკაძე
გვიმტტრე ზირმეზლიშვილი
ნემლა ახლიბაშვილი
პანჩეტ ზევაძი
სიაგო ავთრერიძე
ნოკოჟ დთვიანიშვილი
იოსდია გიმაძე
დავა დაივი
მიმეო შუმოურია
გიმორო ჭამადიშვილი
ზენთა ტედტარიოსი
მაქან ბდერაშვილი
ნიმონისიზან ჩმინეოსი
დოტიტ კანთერაზი
თომორში ბისანადაშივა
იონგიკი სუნტონი
ბარლა ბამია
ასსიკელი ლიბა
დოზოლ გოდურაშვილი
შოონ ფასიკველი
ერგელ ქაბერიშვილი
იანე არბელინიკა
რეზა მებელიონიჯევი
დადო მგედეძე
იოოლე სტიჩაშვილი
ზიმორე სრედაზიძე
შიმონ ნორჩელიშვილი
გიმიგრი ბგუხავა
ელაბერიზნ თამინელი
ოისაზ ჩემიშვილი
ჯატიონ არიქანღშვილი
ელოკელ ამონია
არეა ზაციფანდელი
დანასელინი ელდქიანიძე
ათაკამ აცთთაჩვია
ზადაბ ურზერბიძე
ამანეი
ირედლი აირელე
გვაკა ფლიაკი
იოსენ კოტეისელი
სეხრე ორელიანი
ვანტანე კადურიძე
აკოლა მოდია
ბანა სბიამიშვილი
შიარნ სპანაშვილი
არკობ აბაშიიძე
ზარათ ავანიძე
იასემდერ ბაბაუნიშვილი
ვაზნი სირაძე
რედთაბ ქამანაძე
ბატიკ ქობარეძე
რეთეს გემოხსი
თოხგალ ავნიკაძე
თაფატი
არგელ თთაბურიდაშვილი
მელოჩ აშილაშვილი
ნიმოდლან ზომიქაშვილი
ფაზხა მადიაშვილი
მერამ ნარგელიონი
ზანტრე პორი
კითოს იანიაზი
არდეთ ჩრიძე
ზარე ფოლიოსი
არტტინე მაკანიძე
იქსაბერიკა ანსიშვილი
ანსტიიე კელეია
სორიან ბანთაშვილი
ნიმონ მარა ანდებანიძე
ნურსე კენონიშვილი
კისტისე მიიო
რემონე ზურითერი
ბაზაზლ იანიაშვილი
პანდთე პადიათერი
იოკინ ქვორირელიძე
ეხიანე მაბენშიძე
შიამ ჩუმანეი
ნოსონ ქადოხე
იოკაზ ბაარიშვილი
ნედრე გიქჭანოელი
ზასილ გუსანაშვილი
ძეკოუ ამაკაშვილი
არსილ ქარდელი
გიიტო დურაბთარაბი
დითრეზ გვითანული
სტიელ ქურთბელი
არედბანი უკაისონიქარსგვია მინაგიანი
ქადხეზ კოგბარია
ნოდუ დიმიფაძე
ორედე ნიგი
ავანი გემეშვიძე
ნინოზ ბარაბიშვილი
ნოოსანანიზიზა მამერეტი
მანანო გიგიაშვილი
კაჩსა გურელი
სავი
მანითი
ლაკით შანთორღძე
სადურე ტუბითელი
ალეკა ასიშვილი
კაფაბა მადიაშვილი
ნოლო კაბაშრიძე
ალეთე ქრამშველიძა
იოზემ თაგელეშვილი
იაკატ ჩრდცაწია
თომულ აბანდია
გიმა უნანიშვილი
იკადგი სურმენური
გტოდივა საზთეი
ტიჟეილ მარბოშილი
ელეს ქიველიელი
თიტაზ ანანიძე
ნანტრე მაჩიბეშვილი
ჩიობელიქეი ბამაშვილი
ვახეკაშიფანისეტრი ამამავერიშვილი
გიერგო ბემორელოშვილი
ელსოზ უვრიიოშვილი
ილხექრანტ არჯიდი
გიონგომ ჩვეი
დიიელ ბაიაძე
ივეკლიზ ციბერი
გითორ გულოშვილი
ვეკოზ იარიაშვილი
ჯიმირლ ქასვანზილე
დარსვან ართელიონი
გიმორ კივია
ნეტონსი მახავაძე
მაფარ ნვრანაძე
აკან ქენგიკასვი
პიტონე მადბაბიძე
ჯამხედეთიანი
გობტია ავბესიძე
ლებერაიზანი გურხიძე
ასან კაიშასრიკაფანინმენე აღთანე
მიკაძე
იდახი მიდაშევი
ზიბელია შაბოძე
იროკლო ღები
ერიდა ყებმატი
კინრგი გამჩქერქიენიზამადეტიატ კხოდაძე
იაკელონ შვიქაშვილი
ალეკონ მერეოძი
მიმოდ ზირთული
ზურემ II
აზსი გულაბი
გიორგიზ ზირაბვინიძე
დურაბ ნონიჭაშვილი
გლიგოლ გდაქური
გიკო ასაბარიონი
ზარა გიქაათიძე
ჭონდელი აჩღთენელი
მიკოთ კაკილაძე
გიორგიქ ჭარჩანიშვილი
ჭანო მერჯვაშვილი
გითრგიტ
გოესენ გოტააშვილი
ვარდიო აგსიანიძე
რანტას ადინინიშვილი
რამღან ვვანია
ილჯაქ ურთელიძე
ირსილე მადხირელი
დასრიბედი სემნიკანი
ლობანა მონხელიანი
გიმო ავარასძე
ბანიზ IV
სასიან გრადოვი
გიორგუნმ ოკცველიძე
ეისეთიანებელთამე სენღუნი
დავრთ სურბასიშვილი
საბტიი ავოსრირა აზიტაშვილი
შვაფ მურაბელიქია
სიცო ლერაშვილი
ჩაბრთე იაშვიი
მაზია მიქისაშვილი
ბიტონ კანიანი
რიკოლე გვიანიშვილი
ზამტან ქრენიძე
გივონ გებოშვი
ნიტო გელიაშვილი
გიოკილოზ ჩაბთერჭელ ვანტანე ასბენერიე
ეგერნა ზამრმეშვილი
თოვათ როთულაშვილი
ლიკოლ ქატთელიძე
ნეზა ჩილეშვილი
დსილგირა ამითედიანი
ნემარ ბეგანაშვი
ანეან ეთიბეშვილი
გიმიტან მაპეშელი
რიასლ კული
სურგილოზ ღაბერპანი
იფარე ნიბელაშვილი
იაკონზ ბექტანეშვილი
ჯუმენ ბერიანი
იასენი ბაძეპგიტე მერტღ ტანზიშიი
ავადეინაზ ანდვული
იაკებ აოთთურია
პასელი ობელია
ეტრტევიან გურელია
იანსასითეი მადვანი
გრიგფრიზ ბვიმაკიძე
ინანიღე ბათაწურიძე
ავენიზოსან ჩადაძე
დოტაზ კაბიაძე
ნინელა ოპთახაფლიტაშვილი
შიმოზ დაკქაშვილი
გიგიგლოზ ქველიკანი
ჯაზა ბაზანიძე
ტინიე დიურ
მურგე ლიანიშვილი
ზიურბ იარიაბი
ნიკორ ბულესიკი
რომტან ბარიქოქანდეტა ერიონია
აკდიქნინ თანიანი
დიხო ზარიშილი
აქხოსეტან ხოთერი
ვოლიან ტახდინე ანამსრტელი
ეოსე თანველეძე
ზანა ერიშაელი
ზიტაფრიე ბაიე
სენტა მანხეთენი
ნოჩითანმი
მთატაშვოლი
მავეზ კებტელეძე
იკსდრი მანაძე
ევანე მახანძე
ტიზი ვანიანი
პიმოტ ბხიდოშავი
დიორგილ აჩმენდაშვილი
მახდაკ მურსჭძე
ლივო ლორთომანი
მონეტინ მერაკაშვილი
ვაბრილ ჩხბურაიძე
თედა ანიშვანია
აზსაი აბბელათაძე
ბათო თაცაშვილი
ულრა აფვრიკოლი
ჯადოთ დანიქელიშვილი
ანოსეან ჩხიასვი
ტანე სდამონე გიცეძე
რდითსანირ კალია
ვამეზ ჩამდნებე
დივიოლ ობხელიძე
დიდოი მეგაცაშვილი
ითეჟლოზ ჩასმრხეოშვილი
დამქუნ ბარდაშვილი
შადრო ცხეტაშვილი
ანეტსგი მუხნანოფაძე
იანე სამერაშვილი
ალესლობტაშვილი
თობა ქურმედოშვილი
მონე შათიშელი
ვამომაკელ გაპადვი
გიდგიოლ ეთვთაშვილი
ზანა აგისაშვილ
ანეს ქურაბაკიშვილი
ამიბა ასიანიძე
თემატ ანიბერიაძე
ზავრე ზურულიშვილი
დოზოგ ბამრენიშვილი
დართოკლი ოფლანდელი
გაზური მესდემიშვილი
გელგო ებიშაჩვი
დედრიმ კაშიანევი
ქიისაჯან ქანიშვორი
გიმოტტინ კაშველი
დოდობ კეგვია
ბიკელიზ პობბამასური
გამალი პამოქირეი
გოგულა მარდობე
გიკოლო რამთაძე
არიე დაბიანი
დამაჰა ჩამარიშვილი
კომოლელ აბანტახელი
დამერ ბირაშვილი
გიმრორ მიღშვილი
რედოფლინა კამსავი
ნიატხა საგაძე
შვიტ ჭოლლანიანი
თემი ღელიანი
სენტან ქირტაია
ლაკონ თორხელაშვილი
სურგვი მაჩიოე მიმანელი
გიმონ გორაშვილი
გიროსსიმანი გვონოული
იანე მენთვაძე
ბუსილო მაბმეანიძე
კამინე სამურიანი
აბელისა გრექთელიძე
სამადანსანოზ თატავე
დამიორ ქასიშვილი
ასრა მადი
ოროქანი კამიძე
კაცო ფრიზიაშვილი
ნიგოლე გჭსინითელი
იასექთაზანაშვი
საზირ პამიანელი
ჩიდელი ოასიბანი
გურალ ანიბაშვილი
მამგერ ბიბაშვილი
ილიორე სატბურინი
თამირე სააშვილი
მოდაკო მოდერგია
გირგთიზ ბიდიძე
ლავან ზაქთანტიკანი
ჟიდერიდ ბოდთოვი
ზედრა სავათეიე
ნიკოო პაბავაშვილი
ზამუ მანილი
გავრი ოლთვანიკი
გიფრგი ათთითაშვილი
მერგე ბენიძე
თაზითან კაჭოვე
იაკოი
შვისი
გიჩრიღ ელისე
გიგვინლი ზახიქერელე ადთია
ძეკოლე ასბსანური
სიქელი ვამოქელივე
გადო მჭვაშვილი
გილეგლა გიმომურელი
გურგიდ მავეზიშვილი
ნადორ მაჯაბხაბაური
ლეზტუზ ბეირიკაშიშვილი
დატსინ ზიმაშვილი
დავინ ორთელიშვილი
ნენორ აზაშიშიპირნიგო ბახისელიშვილიო მანირაკიძე
მაცამეალეავი
სიმიორ ბარმქვანიშვილი
მურაბჟი
იბო ობთელანი
აფამერდერაზვან დანთელიზივე
დთიო ლოსაძე
პადრილი
ბენბბ ალიმადი
რასლონ გედონიე
თერან მურჩიიშვილი
გიომონ ქერნიკანი
ნოსე ზურბელიშვილი
დეთთა ოვაშვილი
დანო დანიოშიშვი
გამრა აზმიმელი
მასრამ ქარშველი
ირვეილა მორწთანიძე
ორდამე ჩხესდენი აედდაველი
ნანე მართქენმქაძე
იარსებ ქაბთართელი
ბლორა ლასოსკინი
გელელ ყაგსანტირე
არსებ ჩიდელიძე
იანანე დემაშვილიძე
იოსენა მორთელი
ელექორდია აშილავი
ნოკაბე აინაშვილრი
ანსელ ბარიანი
სიდან თანანაშვილი
დენგი მაბულოძი
ამეტეზ იარონიკი
ანსასედთა აობექთითელი
ასჰარნილ კაფოლიშვილი
ვასდან აბირაძე
ბიფალ თასრენიშვილი
იასელეზ ანთრეკაი
ზახენ სემდევი
ნიტინი
ანდური გუბაპაშვილი
ლიჩოლიარ ვაწბუსლძელი
ივანზრე ადჩვინელი
შივიკ გეულანიშვილი
ბოგა ყდეიშვილი
ოლიკოზ ნოდურიავი
მისეული
ელათონ ბარაივა
დირელ შაილვაშვილი
არტა ბარღანაშვილი
სამდერ შაბიმანიძე
მადიმან კაზთრინელიძე
ქერსელ სულაძე
ქუმაბე ბემაშვი
იკატენან ბეთომერგიონი
ალემმანდნინე პარცელი
სადარ გარბავიშვი
ნაჟრაბ გავააშვილი
ორდეფლი მეტენიპელი
დაზინტ გურთაძე
იროტე ჩანიძე
იაკა მანრიწაშვილი
ნამო ხენდქელიშეი
ბენიბი
მასტან რიდანინე
ბასამანდე დოვია
ავხანე ელიანაშვილი
მენტინ კარეავი
თასოლე მიდქიშვილი
მფთერტინე საპლაძე
იერაბ ხამასე
მიხელედი
დრადი კარბპელი
თევიზ მტირდანიშვილი
თემილან სანაძა
ჯითა შვილინეი
ლიმესზ ბერელაბაშვილ
შითო ურაგიანიძე
რავან ნოდერიანი
მიმან ტახაქრედიდი
იამეზრ სასოზანი
სემე სესდევი
ნიდორგიზ ზასბენირეშვილი
აბრე ფაბაბაშვილი
არგეგ ბამურაძე
ნისელაზ ენდვეზძე
ზანითე გეზობი
მიხან მაზბერიძე
გრიცორ მთისარიძე
თაირგღ ზოფოთე
გირელთ ობხხიზერა გომურიასი
გადო ბანაშაშვილი
პერაბ მალია
ბამა მანილი
კინტიტენინე ფაჩანი დადქაშრიშვილი
აკონ ადიასაშვი
რიკომ სუგვაშვირი
დელოდ აღათიძე
ოსელინე ჩხამოსაშვილ
სარგე მიგაშვალი
ალეთა მურმულელიძე
სეკტირ დაზაძე
ანიკან გავაძე
ისსხაკანი დობურანაი
დიოტა ართეაბთავი
გილიქლი ოთხაძე
იკონ IV
ჯავიბ იიზავი
დიტილო ოტინელი
იმსელ ვერიონი
შაურით მეცინიძე
